"Driver Name","Club #",Ranking,"Series Position","Series Points","R1 Points","R2 Points","R3 Points","R4 Points","R5 Points","R6 Points","R7 Points","R8 Points","R9 Points","R10 Points"
"Paul Ropey Hindson",86,1,"   1",899,150,150,0,150,0,149,0,150,150,0
"Mark 'Plato' Richardson",19,5,"   2",887,0,144,150,148,0,148,150,147,143,140
"Phil 'Yoda' Haines",70,2,"   3",869,146,130,142,144,149,133,143,0,144,143
"Ian 'Bunny Boiler' Watson",5,6,"   4",869,141,0,0,0,147,143,146,0,144,148
"Gary 'Moneybags' Armstrong",22,4,"   5",865,140,136,140,146,146,142,145,144,137,142
"'Quiet' Jonny Allonby",58,8,"   6",856,0,139,145,140,0,131,146,142,140,143
"Andrew Gardner",71,12,"   7",843,143,141,143,142,0,132,140,0,134,0
"Tony Two Wheel Telford",1,7,"   8",830,138,0,138,0,145,126,0,139,132,138
"Mark Fairbairn",68,12,"   9",817,0,130,136,138,0,128,138,139,136,0
"Richard 'Pikey' Ingham",T31,10,"  10",590,0,145,148,0,0,0,0,0,147,150
"Darren Russell",27,3,"  11",589,148,147,0,0,0,147,0,147,0,0
"Tony 'Chewbacca' Fitzpatrick",69,11,"  12",270,0,130,0,0,0,0,0,0,0,140
"Micheal 'Snowman' Snowdon",T29,9,"  13",268,138,130,0,0,0,0,0,0,0,0
"Chris Pattinson",T24,9999,"  14",141,0,0,0,0,0,141,0,0,0,0
"Phil 'Jedi' Haines",T70,9999,"  15",136,0,0,136,0,0,0,0,0,0,0
